iter	Passed	Remaining
151	303	1694
152	305	1690
153	307	1689
154	309	1688
155	311	1685
156	313	1683
157	315	1680
158	317	1677
159	319	1675
160	321	1673
161	323	1671
162	324	1668
163	326	1666
164	328	1664
165	330	1661
166	332	1659
167	334	1657
168	336	1655
169	338	1654
170	341	1655
171	343	1653
172	345	1651
173	347	1649
174	349	1647
175	351	1644
176	353	1641
177	354	1639
178	356	1636
179	358	1634
180	360	1631
181	362	1630
182	364	1628
183	366	1626
184	368	1622
185	370	1619
186	371	1616
187	373	1615
188	375	1613
189	377	1611
190	379	1609
191	381	1606
192	383	1604
193	385	1603
194	387	1600
195	389	1598
196	391	1596
197	393	1594
198	395	1592
199	397	1589
200	399	1588
201	401	1585
202	403	1583
203	405	1580
204	407	1578
205	408	1576
206	411	1574
207	412	1571
208	414	1569
209	416	1567
210	418	1564
211	420	1562
212	422	1561
213	424	1558
214	426	1555
215	428	1554
216	430	1552
217	432	1550
218	434	1548
219	436	1546
220	438	1544
221	440	1542
222	442	1541
223	444	1539
224	446	1537
225	448	1535
226	450	1532
227	452	1530
228	453	1528
229	455	1526
230	457	1523
231	459	1521
232	461	1519
233	463	1517
234	465	1515
235	467	1512
236	469	1510
237	471	1508
238	473	1507
239	474	1503
240	476	1501
241	478	1499
242	480	1497
243	482	1496
244	484	1493
245	486	1491
246	488	1489
247	490	1487
248	492	1485
249	494	1483
250	496	1482
251	498	1480
252	501	1479
253	502	1477
254	505	1475
255	507	1473
256	509	1472
257	511	1469
258	513	1468
259	515	1465
260	516	1463
261	518	1461
262	520	1459
263	522	1456
264	524	1455
265	526	1452
266	528	1451
267	530	1449
268	532	1446
269	534	1446
270	537	1445
271	539	1443
272	541	1441
273	543	1438
274	545	1437
275	547	1435
276	549	1433
277	551	1431
278	553	1429
279	555	1427
280	557	1425
281	559	1423
282	561	1421
283	563	1419
284	565	1418
285	567	1416
286	569	1414
287	571	1412
288	573	1410
289	575	1409
290	577	1407
291	579	1405
292	581	1403
293	583	1401
294	585	1399
295	587	1397
296	589	1395
297	591	1393
298	593	1391
299	595	1389
300	597	1387
301	599	1385
302	601	1383
303	603	1381
304	605	1380
305	607	1378
306	609	1376
307	611	1374
308	614	1373
309	616	1372
310	618	1369
311	620	1367
312	622	1367
313	625	1366
314	627	1364
315	629	1362
316	631	1360
317	633	1358
318	635	1356
319	637	1354
320	639	1352
321	641	1350
322	643	1348
323	645	1347
324	647	1345
325	650	1343
326	652	1341
327	653	1339
328	655	1337
329	658	1336
330	660	1334
331	661	1331
332	663	1329
333	665	1327
334	667	1325
335	669	1323
336	671	1321
337	673	1319
338	675	1317
339	677	1315
340	680	1314
341	682	1312
342	684	1310
343	686	1308
344	688	1306
345	690	1304
346	692	1302
347	694	1300
348	696	1299
349	698	1296
350	700	1295
351	702	1293
352	704	1291
353	706	1289
354	708	1287
355	710	1285
356	712	1283
357	714	1281
358	716	1279
359	718	1277
360	720	1275
361	722	1273
362	724	1271
363	726	1269
364	728	1267
365	730	1265
366	732	1263
367	734	1261
368	736	1259
369	738	1257
370	740	1255
371	742	1253
372	744	1251
373	747	1250
374	749	1248
375	751	1246
376	753	1244
377	754	1242
378	756	1240
379	758	1238
380	760	1236
381	762	1234
382	765	1232
383	767	1230
384	769	1228
385	771	1226
386	773	1224
387	775	1223
388	777	1221
389	779	1219
390	781	1217
391	783	1215
392	785	1213
393	787	1211
394	789	1209
395	791	1207
396	793	1205
397	795	1203
398	797	1201
399	799	1199
400	801	1197
401	803	1195
402	805	1193
403	807	1191
404	809	1189
405	811	1187
406	813	1185
407	815	1183
408	817	1181
409	819	1179
410	821	1177
411	823	1175
412	825	1173
413	828	1172
414	829	1169
415	832	1168
416	833	1165
417	836	1164
418	838	1162
419	840	1160
420	842	1158
421	844	1156
422	846	1154
423	848	1152
424	850	1150
425	852	1148
426	854	1146
427	856	1144
428	858	1142
429	860	1140
430	862	1138
431	864	1136
432	866	1134
433	868	1132
434	870	1130
435	872	1128
436	874	1127
437	876	1125
438	878	1123
439	881	1121
440	883	1119
441	885	1117
442	887	1115
443	889	1113
444	891	1111
445	893	1109
446	895	1107
447	897	1105
448	899	1103
449	901	1101
450	903	1099
451	905	1097
452	907	1095
453	909	1093
454	911	1092
455	913	1089
456	915	1088
457	917	1086
458	920	1084
459	922	1082
460	924	1080
461	926	1078
462	928	1076
463	930	1074
464	932	1072
465	934	1070
466	936	1068
467	938	1067
468	940	1065
469	943	1063
470	945	1061
471	947	1059
472	949	1057
473	951	1055
474	953	1053
475	955	1051
476	957	1049
477	959	1047
478	961	1045
479	963	1043
480	965	1042
481	967	1040
482	969	1038
483	971	1036
484	973	1033
485	975	1031
486	977	1029
487	979	1028
488	982	1026
489	984	1024
490	986	1022
491	988	1020
492	990	1018
493	992	1016
494	994	1014
495	996	1012
496	998	1010
497	1000	1008
498	1002	1006
499	1004	1004
500	1006	1002
501	1008	1000
502	1011	998
503	1013	997
504	1015	995
505	1017	993
506	1019	991
507	1021	989
508	1023	987
509	1025	985
510	1027	983
511	1029	981
512	1031	979
513	1033	977
514	1035	975
515	1037	973
516	1039	971
517	1041	969
518	1043	967
519	1045	965
520	1047	963
521	1049	961
522	1051	959
523	1053	957
524	1055	955
525	1058	953
526	1060	951
527	1062	949
528	1064	947
529	1066	945
530	1068	943
531	1070	941
532	1072	939
533	1074	937
534	1075	935
535	1078	933
536	1080	931
537	1082	929
538	1084	927
539	1086	925
540	1087	923
541	1090	921
542	1092	919
543	1094	917
544	1096	915
545	1098	913
546	1100	910
547	1101	908
548	1103	906
549	1106	904
550	1107	902
551	1110	900
552	1112	898
553	1114	897
554	1117	895
555	1118	893
556	1120	891
557	1122	889
558	1124	887
559	1126	885
560	1128	883
561	1130	881
562	1132	879
563	1134	877
564	1136	875
565	1138	873
566	1140	871
567	1142	869
568	1144	867
569	1146	865
570	1148	863
571	1150	861
572	1152	859
573	1154	857
574	1156	855
575	1158	853
576	1160	851
577	1162	849
578	1164	846
579	1166	844
580	1168	842
581	1170	840
582	1172	838
583	1175	837
584	1176	834
585	1178	832
586	1180	830
587	1183	828
588	1184	826
589	1186	824
590	1188	822
591	1190	820
592	1192	818
593	1194	816
594	1196	814
595	1198	812
596	1200	810
597	1202	808
598	1204	806
599	1206	804
600	1208	801
601	1210	800
602	1212	798
603	1214	795
604	1215	793
605	1217	791
606	1219	789
607	1221	787
608	1223	785
609	1225	783
610	1227	781
611	1229	779
612	1231	777
613	1233	775
614	1235	773
615	1237	771
616	1239	769
617	1241	767
618	1243	765
619	1245	763
620	1247	761
621	1249	759
622	1251	757
623	1252	754
624	1254	752
625	1256	750
626	1258	748
627	1260	746
628	1262	744
629	1264	742
630	1266	740
631	1268	738
632	1270	736
633	1272	734
634	1274	732
635	1276	730
636	1278	728
637	1280	726
638	1282	724
639	1284	722
640	1285	720
641	1287	718
642	1289	716
643	1291	714
644	1293	711
645	1295	709
646	1297	707
647	1299	705
648	1301	704
649	1303	702
650	1305	700
651	1307	697
652	1309	695
653	1311	693
654	1313	691
655	1315	689
656	1317	687
657	1319	685
658	1321	683
659	1323	681
660	1325	679
661	1327	677
662	1329	675
663	1331	673
664	1333	671
665	1335	669
666	1337	667
667	1339	665
668	1340	663
669	1342	661
670	1345	659
671	1347	657
672	1349	655
673	1351	653
674	1353	651
675	1355	649
676	1357	647
677	1359	645
678	1361	643
679	1363	641
680	1365	639
681	1367	637
682	1369	635
683	1371	633
684	1373	631
685	1375	629
686	1377	627
687	1379	625
688	1381	623
689	1383	621
690	1385	619
691	1387	617
692	1389	615
693	1391	613
694	1393	611
695	1395	609
696	1397	607
697	1399	605
698	1401	603
699	1403	601
700	1405	599
701	1407	597
702	1408	595
703	1411	593
704	1412	591
705	1414	589
706	1417	587
707	1419	585
708	1421	583
709	1423	581
710	1425	579
711	1427	577
712	1429	575
713	1431	573
714	1433	571
715	1435	569
716	1437	567
717	1439	565
718	1441	563
719	1443	561
720	1445	559
721	1447	557
722	1449	555
723	1451	553
724	1453	551
725	1455	549
726	1457	547
727	1459	545
728	1461	543
729	1463	541
730	1465	539
731	1467	537
732	1469	535
733	1472	533
734	1474	531
735	1476	529
736	1478	527
737	1480	525
738	1482	523
739	1484	521
740	1486	519
741	1488	517
742	1490	515
743	1492	513
744	1494	511
745	1496	509
746	1498	507
747	1500	505
748	1501	503
749	1503	501
750	1505	499
751	1507	497
752	1509	495
753	1511	493
754	1513	491
755	1515	489
756	1517	487
757	1519	485
758	1521	483
759	1523	480
760	1525	478
761	1526	476
762	1528	474
763	1530	472
764	1532	470
765	1535	468
766	1536	466
767	1538	464
768	1540	462
769	1542	460
770	1544	458
771	1546	456
772	1548	454
773	1550	452
774	1553	450
775	1554	448
776	1557	446
777	1559	444
778	1561	442
779	1562	440
780	1564	438
781	1566	436
782	1568	434
783	1570	432
784	1572	430
785	1574	428
786	1576	426
787	1578	424
788	1580	422
789	1582	420
790	1584	418
791	1586	416
792	1588	414
793	1590	412
794	1592	410
795	1594	408
796	1596	406
797	1598	404
798	1600	402
799	1602	400
800	1604	398
801	1605	396
802	1607	394
803	1610	392
804	1612	390
805	1614	388
806	1616	386
807	1618	384
808	1620	382
809	1622	380
810	1624	378
811	1626	376
812	1628	374
813	1630	372
814	1632	370
815	1634	368
816	1636	366
817	1638	364
818	1639	362
819	1641	360
820	1643	358
821	1645	356
822	1647	354
823	1649	352
824	1651	350
825	1653	348
826	1655	346
827	1657	344
828	1659	342
829	1661	340
830	1663	338
831	1665	336
832	1667	334
833	1669	332
834	1671	330
835	1673	328
836	1674	326
837	1676	324
838	1679	322
839	1681	320
840	1683	318
841	1685	316
842	1687	314
843	1688	312
844	1691	310
845	1692	308
846	1695	306
847	1697	304
848	1699	302
849	1700	300
850	1702	298
851	1704	296
852	1706	294
853	1708	292
854	1710	290
855	1712	288
856	1714	286
857	1716	284
858	1718	282
859	1720	280
860	1722	278
861	1724	276
862	1726	274
863	1728	272
864	1730	270
865	1732	268
866	1734	266
867	1736	264
868	1738	262
869	1740	260
870	1742	258
871	1744	256
872	1746	254
873	1747	251
874	1750	250
875	1751	247
876	1753	245
877	1755	243
878	1757	241
879	1759	239
880	1761	237
881	1763	235
882	1765	233
883	1768	232
884	1769	229
885	1772	228
886	1774	226
887	1776	224
888	1778	222
889	1780	220
890	1782	218
891	1784	216
892	1786	214
893	1788	212
894	1790	210
895	1792	208
896	1794	206
897	1797	204
898	1799	202
899	1801	200
900	1803	198
901	1805	196
902	1807	194
903	1809	192
904	1811	190
905	1813	188
906	1816	186
907	1818	184
908	1820	182
909	1822	180
910	1824	178
911	1826	176
912	1828	174
913	1830	172
914	1832	170
915	1834	168
916	1836	166
917	1838	164
918	1840	162
919	1842	160
920	1844	158
921	1846	156
922	1848	154
923	1850	152
924	1852	150
925	1854	148
926	1856	146
927	1858	144
928	1860	142
929	1862	140
930	1864	138
931	1866	136
932	1868	134
933	1870	132
934	1872	130
935	1874	128
936	1876	126
937	1878	124
938	1880	122
939	1882	120
940	1884	118
941	1886	116
942	1888	114
943	1891	112
944	1893	110
945	1895	108
946	1897	106
947	1899	104
948	1901	102
949	1903	100
950	1905	98
951	1907	96
952	1909	94
953	1912	92
954	1914	90
955	1916	88
956	1918	86
957	1920	84
958	1922	82
959	1924	80
960	1926	78
961	1928	76
962	1930	74
963	1933	72
964	1934	70
965	1937	68
966	1939	66
967	1941	64
968	1944	62
969	1946	60
970	1948	58
971	1950	56
972	1952	54
973	1954	52
974	1956	50
975	1958	48
976	1960	46
977	1962	44
978	1964	42
979	1966	40
980	1968	38
981	1970	36
982	1972	34
983	1974	32
984	1977	30
985	1978	28
986	1980	26
987	1982	24
988	1984	22
989	1988	20
990	1990	18
991	1992	16
992	1994	14
993	1996	12
994	1998	10
995	2000	8
996	2002	6
997	2004	4
998	2006	2
999	2008	0
