iter	Logloss
0	0.6616409201
1	0.632918237
2	0.6212078366
3	0.6089129985
4	0.5971551557
5	0.5760066396
6	0.5563027583
7	0.5469272744
8	0.5386973884
9	0.5312948765
10	0.5233955638
11	0.5157375723
12	0.5005929018
13	0.4943386062
14	0.4885276755
15	0.4760246562
16	0.4644623777
17	0.4557712033
18	0.4516336636
19	0.4471989361
20	0.4396160715
21	0.4312248261
22	0.4282901749
23	0.4221439704
24	0.4187279664
25	0.4131846025
26	0.4104687638
27	0.4047465048
28	0.4001860068
29	0.3978713715
30	0.3951913293
31	0.392020726
32	0.3901742624
33	0.3879307892
34	0.3858832369
35	0.384155133
36	0.3823196798
37	0.3803140688
38	0.3784883232
39	0.3767856752
40	0.3750710863
41	0.3736122655
42	0.3724236985
43	0.3692985985
44	0.3679686761
45	0.366167979
46	0.364876334
47	0.363473017
48	0.3620690727
49	0.3605490789
50	0.3592838501
51	0.3579375579
52	0.3562122301
53	0.3542648155
54	0.3524407948
55	0.3513250384
56	0.3502673497
57	0.3493595341
58	0.3483497385
59	0.3474010445
60	0.346760618
61	0.3459566569
62	0.3450691556
63	0.3444748457
64	0.3436338798
65	0.3427342479
66	0.3420640176
67	0.3405097676
68	0.3398907394
69	0.3384107349
70	0.3379380334
71	0.3371157318
72	0.3363825108
73	0.3350801494
74	0.3345168864
75	0.3338399047
76	0.3331209449
77	0.3324329584
78	0.3318235682
79	0.3314143565
80	0.3308493972
81	0.3302981856
82	0.3296897375
83	0.3293088279
84	0.3287836176
85	0.3280875424
86	0.3275448169
87	0.3270389273
88	0.3257427218
89	0.3252988818
90	0.3246328134
91	0.3239651501
92	0.3235285286
93	0.3230204102
94	0.3220178948
95	0.3216658805
96	0.3211501395
97	0.3206514693
98	0.3203047874
99	0.3197447481
100	0.3194281513
101	0.3188915188
102	0.3184551228
103	0.318154874
104	0.3177725346
105	0.3173030594
106	0.3169302583
107	0.3164782105
108	0.3161212267
109	0.3158378478
110	0.3154451212
111	0.3151391044
112	0.3148352907
113	0.3144298218
114	0.3140327302
115	0.3135258168
116	0.3132036815
117	0.3129084813
118	0.3123710404
119	0.3118379532
120	0.3114445465
121	0.3110226256
122	0.3105559349
123	0.3102362569
124	0.3099870414
125	0.309592708
126	0.3093533741
127	0.3088423738
128	0.3085750247
129	0.3083172608
130	0.3075571274
131	0.3070422644
132	0.3065995683
133	0.3063119489
134	0.3059218635
135	0.3055495969
136	0.3052709795
137	0.3050373253
138	0.3045112015
139	0.3042005552
140	0.3034219489
141	0.3030731794
142	0.3028872815
143	0.3027396044
144	0.3022910769
145	0.3020863683
146	0.3017595823
147	0.3013460655
148	0.3011556565
149	0.3008513037
150	0.3005907163
151	0.3001166889
152	0.2998387822
153	0.2995021485
154	0.2992480391
155	0.2985512207
156	0.2981738184
157	0.2979586926
158	0.2975597589
159	0.2973263171
160	0.2970020657
161	0.2967695211
162	0.2965433466
163	0.2962359847
164	0.2959334208
165	0.2955440084
166	0.2952800374
167	0.2950586081
168	0.29491832
169	0.2946718395
170	0.2945193357
171	0.2943331518
172	0.2942051747
173	0.2938778461
174	0.2935655481
175	0.293378394
176	0.2928061617
177	0.2924568546
178	0.2921800265
179	0.2920576318
180	0.2917315499
181	0.2914742464
182	0.2912960873
183	0.2911117318
184	0.2907675657
185	0.2904965793
186	0.2901492447
187	0.2899855617
188	0.289651575
189	0.289473727
190	0.2891502766
191	0.2889873805
192	0.2888810968
193	0.2883486389
194	0.2881114659
195	0.2879096599
196	0.2875150162
197	0.287326539
198	0.2871562725
199	0.2869846809
200	0.2867049534
201	0.286489142
202	0.2862871092
203	0.2861033662
204	0.2859600166
205	0.2856706242
206	0.2854640135
207	0.2853349768
208	0.285064474
209	0.2848747454
210	0.2846205972
211	0.2843447509
212	0.2842777663
213	0.2841344957
214	0.2839347884
215	0.2836984136
216	0.2835792563
217	0.2834053589
218	0.2829195324
219	0.2827347242
220	0.2825857715
221	0.2823485939
222	0.2820434145
223	0.281560026
224	0.2814296713
225	0.2812840637
226	0.2810837822
227	0.2809864596
228	0.2808385607
229	0.2805556472
230	0.2804685252
231	0.2802994226
232	0.2801602416
233	0.28005198
234	0.2797912433
235	0.279599527
236	0.2794612117
237	0.2793458827
238	0.2791997627
239	0.2791158754
240	0.2788443998
241	0.2787150037
242	0.2785425182
243	0.2783147137
244	0.2781699191
245	0.2779978512
246	0.2778714826
247	0.2777682974
248	0.2776248982
249	0.2774693246
